createdAt,updatedAt,id,createdById,updatedById,name,type,fee,transport_fee,quantity,nop,total,description
2025-04-04 08:47:11.102+00,2025-05-04 08:01:02.518+00,60,1,3,90D2D🅱️10 - 👤👤👤👤,D2D (B),2800,400,10,4,3200,DOOR 2 DOOR (B) 1V4 - 10 LESSONS / PERSON (90MINS)
2025-04-04 08:50:12.377+00,2025-05-04 07:51:15.476+00,61,1,3,TRIAL,G,50,,1,1,50,TRIAL CLASS (30MINUTES)
2025-04-04 08:50:25.173+00,2025-05-04 07:51:47.1+00,62,1,3,FLEXI,G,65,,1,1,65,Flexible Lesson
2025-04-04 08:50:36.682+00,2025-05-04 07:51:58.383+00,63,1,3,GROUP4,G,200,,4,1,200,GROUP (INDIVIDUAL) - 4 LESSON
2025-04-04 08:50:45.755+00,2025-05-04 07:52:06.279+00,64,1,3,GROUP10,G,480,,10,1,480,GROUP (INDIVIDUAL) - 10 LESSON
2025-04-04 08:50:59.961+00,2025-05-04 07:52:11.015+00,65,1,3,GROUP20,G,950,,20,1,950,GROUP (INDIVIDUAL) - 20 LESSON
2025-04-04 08:51:15.529+00,2025-05-04 07:52:15.928+00,66,1,3,GROUP30,G,1350,,30,1,1350,GROUP (INDIVIDUAL) - 30 LESSON
2025-04-04 08:51:31.858+00,2025-05-04 07:52:21.163+00,67,1,3,GROUP50,G,2000,,50,1,2000,GROUP (INDIVIDUAL) - 50 LESSON
2025-04-04 08:51:56.553+00,2025-05-04 07:52:30.945+00,68,1,3,FAMILY,G,2600,,30,2,2600,FAMILY PACKAGE 2PAX - 30 LESSONS / PERSON
2025-04-19 04:41:07.586+00,2025-05-04 07:52:41.441+00,69,1,3,Transport Fee,,,,1,1,0,Transport Fee
